part_id,folder_name,image_path,view,metadata_path,reference,part_number,supplier,material,part_title,design,weight,eclass,rohs
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_left.png,left,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_back.png,back,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_bottom.png,bottom,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_iso.png,iso,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_top.png,top,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_right.png,right,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576740-34-40_t_shafts_adp416c,189576740-34-40_t_shafts_adp416c,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_front.png,front,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c.txt,ADP416C,10-20112003-070817,,,"40 mm through shafts, NAAMS ADP C",40 mm through shafts ADP416C,,,
189576446-34-16-240-46-6-16,189576446-34-16-240-46-6-16,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_bottom.png,bottom,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16.txt,16-240-46-6-16,90-02012026-074405,EMILE MAURIN,,16-24 VIS PAPILLON INOX,16-24 VIS PAPILLON INOX - 16-240-46-6-16,,,
189576446-34-16-240-46-6-16,189576446-34-16-240-46-6-16,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_iso.png,iso,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16.txt,16-240-46-6-16,90-02012026-074405,EMILE MAURIN,,16-24 VIS PAPILLON INOX,16-24 VIS PAPILLON INOX - 16-240-46-6-16,,,
189576446-34-16-240-46-6-16,189576446-34-16-240-46-6-16,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_top.png,top,/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16.txt,16-240-46-6-16,90-02012026-074405,EMILE MAURIN,,16-24 VIS PAPILLON INOX,16-24 VIS PAPILLON INOX - 16-240-46-6-16,,,
