query_path,query_part_id,query_view,correct_rank,top_1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_back.png,189576740-34-40_t_shafts_adp416c,"<bound method Series.view of part_id                           189576740-34-40_t_shafts_adp416c
folder_name                       189576740-34-40_t_shafts_adp416c
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                          back
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                  ADP416C
part_number                                     10-20112003-070817
supplier                                                      None
material                                                      None
part_title                       40 mm through shafts, NAAMS ADP C
design                                40 mm through shafts ADP416C
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 1, dtype: object>",12,189576583-34-02462141
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_iso.png,189576740-34-40_t_shafts_adp416c,"<bound method Series.view of part_id                           189576740-34-40_t_shafts_adp416c
folder_name                       189576740-34-40_t_shafts_adp416c
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                           iso
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                  ADP416C
part_number                                     10-20112003-070817
supplier                                                      None
material                                                      None
part_title                       40 mm through shafts, NAAMS ADP C
design                                40 mm through shafts ADP416C
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 3, dtype: object>",13,189576026-114-70258696
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_front.png,189576740-34-40_t_shafts_adp416c,"<bound method Series.view of part_id                           189576740-34-40_t_shafts_adp416c
folder_name                       189576740-34-40_t_shafts_adp416c
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                         front
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                  ADP416C
part_number                                     10-20112003-070817
supplier                                                      None
material                                                      None
part_title                       40 mm through shafts, NAAMS ADP C
design                                40 mm through shafts ADP416C
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 6, dtype: object>",15,189576135-114-als40a222db100
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_bottom.png,189576446-34-16-240-46-6-16,"<bound method Series.view of part_id                                189576446-34-16-240-46-6-16
folder_name                            189576446-34-16-240-46-6-16
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                        bottom
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                           16-240-46-6-16
part_number                                     90-02012026-074405
supplier                                              EMILE MAURIN
material                                                      None
part_title                                 16-24 VIS PAPILLON INOX
design                    16-24 VIS PAPILLON INOX - 16-240-46-6-16
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 7, dtype: object>",2,FYTB - T-Shaped Bolts
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_bottom.png,189576359-34-ebcob3-6,"<bound method Series.view of part_id                                      189576359-34-ebcob3-6
folder_name                                  189576359-34-ebcob3-6
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                        bottom
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                 EBCOB3-6
part_number                                     80-09122021-081237
supplier                           ZKH Industrial Supply Co., Ltd.
material                                                      None
part_title                              Butterfly Bolt EBCOB/EBCBS
design                                     Butterfly Bolt EBCOB3-6
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 14, dtype: object>",39,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_top.png,189576359-34-ebcob3-6,"<bound method Series.view of part_id                                      189576359-34-ebcob3-6
folder_name                                  189576359-34-ebcob3-6
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                           top
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                 EBCOB3-6
part_number                                     80-09122021-081237
supplier                           ZKH Industrial Supply Co., Ltd.
material                                                      None
part_title                              Butterfly Bolt EBCOB/EBCBS
design                                     Butterfly Bolt EBCOB3-6
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 20, dtype: object>",15,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_bottom.png,189576172-34-ylbt8x20-c1,"<bound method Series.view of part_id                                   189576172-34-ylbt8x20-c1
folder_name                               189576172-34-ylbt8x20-c1
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                        bottom
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                              YLBT8X20-C1
part_number                                     90-20102023-014501
supplier                       YA-VA Intelligent Systems Co., Ltd.
material                                                      None
part_title                                                  T-bolt
design                                          T-bolt YLBT8X20-C1
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 25, dtype: object>",5,189576270-34-bolt_din_261-m8x30
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_top.png,189576172-34-ylbt8x20-c1,"<bound method Series.view of part_id                                   189576172-34-ylbt8x20-c1
folder_name                               189576172-34-ylbt8x20-c1
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                           top
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                              YLBT8X20-C1
part_number                                     90-20102023-014501
supplier                       YA-VA Intelligent Systems Co., Ltd.
material                                                      None
part_title                                                  T-bolt
design                                          T-bolt YLBT8X20-C1
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 26, dtype: object>",13,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_back.png,189576417-34-2453652,"<bound method Series.view of part_id                                       189576417-34-2453652
folder_name                                   189576417-34-2453652
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                          back
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                  2453652
part_number                                     90-23112023-049396
supplier                                                    RS PRO
material                                                      None
part_title                         1/2 X 2 1/2 LAG BOLT GALVANIZED
design                             1/2 X 2 1/2 LAG BOLT GALVANIZED
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 29, dtype: object>",14,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_bottom.png,189576417-34-2453652,"<bound method Series.view of part_id                                       189576417-34-2453652
folder_name                                   189576417-34-2453652
image_path       /Users/tanishqjadhav/Desktop/Extractor/data/ra...
view                                                        bottom
metadata_path    /Users/tanishqjadhav/Desktop/Extractor/data/ra...
reference                                                  2453652
part_number                                     90-23112023-049396
supplier                                                    RS PRO
material                                                      None
part_title                         1/2 X 2 1/2 LAG BOLT GALVANIZED
design                             1/2 X 2 1/2 LAG BOLT GALVANIZED
weight                                                        None
eclass                                                        None
rohs                                                          None
Name: 30, dtype: object>",2,189576395-34-2453650
