query_path,query_part_id,query_view,correct_rank,top_1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_left.png,189576740-34-40_t_shafts_adp416c,left,1,189576740-34-40_t_shafts_adp416c
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_back.png,189576740-34-40_t_shafts_adp416c,back,12,189576583-34-02462141
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_bottom.png,189576740-34-40_t_shafts_adp416c,bottom,1,189576740-34-40_t_shafts_adp416c
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_iso.png,189576740-34-40_t_shafts_adp416c,iso,13,189576026-114-70258696
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_top.png,189576740-34-40_t_shafts_adp416c,top,1,189576740-34-40_t_shafts_adp416c
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_right.png,189576740-34-40_t_shafts_adp416c,right,1,189576740-34-40_t_shafts_adp416c
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576740-34-40_t_shafts_adp416c/40_t_shafts_adp416c_640x480_front.png,189576740-34-40_t_shafts_adp416c,front,15,189576135-114-als40a222db100
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_bottom.png,189576446-34-16-240-46-6-16,bottom,2,FYTB - T-Shaped Bolts
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_iso.png,189576446-34-16-240-46-6-16,iso,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_top.png,189576446-34-16-240-46-6-16,top,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_left.png,189576446-34-16-240-46-6-16,left,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_front.png,189576446-34-16-240-46-6-16,front,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_right.png,189576446-34-16-240-46-6-16,right,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576446-34-16-240-46-6-16/16-240-46-6-16_640x480_back.png,189576446-34-16-240-46-6-16,back,1,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_bottom.png,189576359-34-ebcob3-6,bottom,39,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_right.png,189576359-34-ebcob3-6,right,1,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_front.png,189576359-34-ebcob3-6,front,1,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_iso.png,189576359-34-ebcob3-6,iso,1,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_back.png,189576359-34-ebcob3-6,back,1,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_left.png,189576359-34-ebcob3-6,left,1,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576359-34-ebcob3-6/ebcob3-6_640x480_top.png,189576359-34-ebcob3-6,top,15,189576446-34-16-240-46-6-16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_left.png,189576172-34-ylbt8x20-c1,left,1,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_front.png,189576172-34-ylbt8x20-c1,front,1,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_right.png,189576172-34-ylbt8x20-c1,right,1,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_back.png,189576172-34-ylbt8x20-c1,back,1,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_bottom.png,189576172-34-ylbt8x20-c1,bottom,5,189576270-34-bolt_din_261-m8x30
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_top.png,189576172-34-ylbt8x20-c1,top,13,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576172-34-ylbt8x20-c1/ylbt8x20-c1_640x480_iso.png,189576172-34-ylbt8x20-c1,iso,1,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_left.png,189576417-34-2453652,left,1,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_back.png,189576417-34-2453652,back,14,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_bottom.png,189576417-34-2453652,bottom,2,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_iso.png,189576417-34-2453652,iso,3,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_right.png,189576417-34-2453652,right,1,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_front.png,189576417-34-2453652,front,12,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576417-34-2453652/2453652_640x480_top.png,189576417-34-2453652,top,2,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_top.png,189576395-34-2453650,top,2,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_iso.png,189576395-34-2453650,iso,6,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_front.png,189576395-34-2453650,front,13,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_right.png,189576395-34-2453650,right,1,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_left.png,189576395-34-2453650,left,1,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_bottom.png,189576395-34-2453650,bottom,2,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576395-34-2453650/2453650_640x480_back.png,189576395-34-2453650,back,11,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_back.png,189576291-34-100016x16,back,4,189576381-34-bouloncem6_20nfe27-312rapp
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_front.png,189576291-34-100016x16,front,1,189576291-34-100016x16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_right.png,189576291-34-100016x16,right,13,189576381-34-bouloncem6_20nfe27-312rapp
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_iso.png,189576291-34-100016x16,iso,6,189576381-34-bouloncem6_20nfe27-312rapp
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_left.png,189576291-34-100016x16,left,10,189576395-34-2453650
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_top.png,189576291-34-100016x16,top,1,189576291-34-100016x16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576291-34-100016x16/100016x16_640x480_bottom.png,189576291-34-100016x16,bottom,1,189576291-34-100016x16
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_right.png,189576276-34-jb_zq_4321-2006_14,right,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_front.png,189576276-34-jb_zq_4321-2006_14,front,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_back.png,189576276-34-jb_zq_4321-2006_14,back,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_top.png,189576276-34-jb_zq_4321-2006_14,top,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_left.png,189576276-34-jb_zq_4321-2006_14,left,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_bottom.png,189576276-34-jb_zq_4321-2006_14,bottom,13,189576740-34-40_t_shafts_adp416c
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576276-34-jb_zq_4321-2006_14/jb_zq_4321-2006_14_640x480_iso.png,189576276-34-jb_zq_4321-2006_14,iso,1,189576276-34-jb_zq_4321-2006_14
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_bottom.png,189576856-34-13c004004,bottom,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_iso.png,189576856-34-13c004004,iso,10,189576417-34-2453652
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_back.png,189576856-34-13c004004,back,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_right.png,189576856-34-13c004004,right,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_front.png,189576856-34-13c004004,front,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_left.png,189576856-34-13c004004,left,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576856-34-13c004004/13c004004_640x480_top.png,189576856-34-13c004004,top,1,189576856-34-13c004004
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_top.png,189576496-34-tec_6,top,28,189576355-114-bpf_24_01
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_back.png,189576496-34-tec_6,back,1,189576496-34-tec_6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_left.png,189576496-34-tec_6,left,1,189576496-34-tec_6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_iso.png,189576496-34-tec_6,iso,1,189576496-34-tec_6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_bottom.png,189576496-34-tec_6,bottom,2,189576449-34-16-280-32-4-10
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_right.png,189576496-34-tec_6,right,1,189576496-34-tec_6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576496-34-tec_6/tec_6_640x480_front.png,189576496-34-tec_6,front,1,189576496-34-tec_6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_bottom.png,189576183-34-ylat8x17-c1,bottom,2,189576270-34-bolt_din_261-m8x30
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_back.png,189576183-34-ylat8x17-c1,back,1,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_iso.png,189576183-34-ylat8x17-c1,iso,2,189576381-34-bouloncem6_20nfe27-312rapp
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_top.png,189576183-34-ylat8x17-c1,top,3,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_left.png,189576183-34-ylat8x17-c1,left,1,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_right.png,189576183-34-ylat8x17-c1,right,1,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576183-34-ylat8x17-c1/ylat8x17-c1_640x480_front.png,189576183-34-ylat8x17-c1,front,1,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_front.png,189576715-34-gye12-krr-b,front,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_right.png,189576715-34-gye12-krr-b,right,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_left.png,189576715-34-gye12-krr-b,left,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_back.png,189576715-34-gye12-krr-b,back,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_bottom.png,189576715-34-gye12-krr-b,bottom,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_iso.png,189576715-34-gye12-krr-b,iso,7,189576583-34-02462141
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576715-34-gye12-krr-b/gye12-krr-b_640x480_top.png,189576715-34-gye12-krr-b,top,1,189576715-34-gye12-krr-b
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_top.png,189576516-34-64771001,top,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_left.png,189576516-34-64771001,left,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_front.png,189576516-34-64771001,front,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_right.png,189576516-34-64771001,right,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_iso.png,189576516-34-64771001,iso,8,189576583-34-02462141
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_bottom.png,189576516-34-64771001,bottom,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576516-34-64771001/64771001_640x480_back.png,189576516-34-64771001,back,1,189576516-34-64771001
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_top.png,189576353-34-ebdb3-3-3,top,1,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_iso.png,189576353-34-ebdb3-3-3,iso,4,189576381-34-bouloncem6_20nfe27-312rapp
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_front.png,189576353-34-ebdb3-3-3,front,1,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_right.png,189576353-34-ebdb3-3-3,right,14,189576359-34-ebcob3-6
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_bottom.png,189576353-34-ebdb3-3-3,bottom,1,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_back.png,189576353-34-ebdb3-3-3,back,1,189576353-34-ebdb3-3-3
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576353-34-ebdb3-3-3/ebdb3-3-3_640x480_left.png,189576353-34-ebdb3-3-3,left,10,189576805-114-agb184
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_back.png,189576270-34-bolt_din_261-m8x30,back,17,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_top.png,189576270-34-bolt_din_261-m8x30,top,4,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_right.png,189576270-34-bolt_din_261-m8x30,right,1,189576270-34-bolt_din_261-m8x30
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_front.png,189576270-34-bolt_din_261-m8x30,front,9,189576183-34-ylat8x17-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_bottom.png,189576270-34-bolt_din_261-m8x30,bottom,2,189576172-34-ylbt8x20-c1
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_left.png,189576270-34-bolt_din_261-m8x30,left,1,189576270-34-bolt_din_261-m8x30
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576270-34-bolt_din_261-m8x30/bolt_din_261-m8x30_640x480_iso.png,189576270-34-bolt_din_261-m8x30,iso,14,"DIN 787 Metric Size, Steel T-Slot Bolts"
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576545-34-1204/1204_640x480_left.png,189576545-34-1204,left,1,189576545-34-1204
/Users/tanishqjadhav/Desktop/Extractor/data/raw/189576545-34-1204/1204_640x480_bottom.png,189576545-34-1204,bottom,1,189576545-34-1204
