"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-04092019-125946";"";
"REFERENCE";"T356A104K035AT";"";
"rs_stock_number";"8682073";"";
"TraceParts.PartTitle";"Capacitor Tantalum .100uF Radial 35V";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/8682073?cm_mmc=en-ds-_-mcad-_-traceparts-_-8682073'";"";
"SUPPLIER";"KEMET";"";
"DESIGN";"Capacitor Tantalum .100uF Radial 35V";"";
"TraceParts.InstanceId";"10-04092019-125946208HPVJLB5B5XTPBZ1XOFG6MU";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.6";"";
