"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-11062001-202053";"";
"REFERENCE";"DIN 261 - d M8 x l 30";"";
"STANDARD";"DIN 261";"";
"TraceParts.PartVersion";"1.6.1";"";
"TraceParts.InstanceId";"10-11062001-202053178BEYM2HXUYGD19DFU9E9G2I";"";
"TraceParts.PartStandardAcronym";"DIN";"";
"TraceParts.PartTitle";"T-head bolts";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"T-head bolt DIN 261 - M8 x 30";"";
"TRACEPARTS";"TRACEPARTS";"";
"MATERIAL";"Steel";"";
"OMNICLASS23";"23.13.23.11.13.19";"";
