"Symbol";"Value";"Unit";
"attr_B02B17A09B6BCEAC96C6F84408";"7318158290";"";
"REFERENCE";"100016X16";"";
"attr_8FD3909F6EA519759F0C48014B";"10";"";
"attr_F01F8FF7543F72104E46BBF062";"6x16";"";
"SUPPLIER";"EMILE MAURIN";"";
"attr_0795A8C9732257D61896AF4606";"4,0";"";
"TraceParts.PartNumber";"90-29122025-065954";"";
"TraceParts.PartLanguage";"fr";"";
"DESIGN";"10001 BOULON À TÊTE HEXAGONALE VIS TH - 100016X16";"";
"TraceParts.InstanceId";"90-29122025-0659545GEYEQ4N67IYXLS2S9Q46SB8W";"";
"attr_BA0FD1C51CCABC112FF15960C5";"M6";"";
"TraceParts.PartTitle";"10001 BOULON À TÊTE HEXAGONALE VIS TH";"";
"attr_72C94F2EA8FDE714CB469F79C7";"5,200";"";
"TraceParts.PartVersion";"1.1.0";"";
"TRACEPARTS";"TRACEPARTS";"";
"attr_8BF70D24480B6A7EE1F63C4749";"16";"";
