"Symbol";"Value";"Unit";
"filter_type";"Band Pass";"";
"REFERENCE";"BPF.24.01";"";
"TraceParts.PartVersion";"1.0.4";"";
"SUPPLIER";"Taoglas";"";
"insertion_loss";"<1.3";"";
"TraceParts.PartTitle";"Airvu BPF.24 2.4GHz Band Pass Filter";"";
"TraceParts.PartNumber";"90-17062020-038107";"";
"frequency_range";"2400MHz - 2500MHz";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Airvu BPF.24 2.4GHz Band Pass Filter";"";
"impedance";"50";"";
"series";"Airvu";"";
"length_mm";"35";"";
"bandwidth";"100MHz";"";
"height_mm";"10";"";
"TRACEPARTS";"TRACEPARTS";"";
"mounting_type";"Connector";"";
"width_mm";"10";"";
"TraceParts.InstanceId";"90-17062020-03810778P2ST6ENTHNY6M228NL8S6AD";"";
