"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-08082008-066207";"";
"REFERENCE";"NF E 27-312 CE - d M6 - l 20 - H - e 2";"";
"STANDARD";"NF E27-312";"";
"TraceParts.PartVersion";"1.3.3";"";
"TraceParts.InstanceId";"10-08082008-066207F27IIHF28VHBASUMHIYM8497F";"";
"TraceParts.PartStandardAcronym";"NF";"";
"TraceParts.PartTitle";"Boulons bruts ou usinés à tête cylindrique";"";
"DESIGN";"Boulon CE, M 6-20, NF E 27-312, écrou H, ergot rapporté";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"fr";"";
"OMNICLASS23";"23.13.23.11.13";"";
