"Symbol";"Value";"Unit";
"REFERENCE";"16-240-46-6-16";"";
"attr_928ECE454573E2A9142384ABB5";"6";"";
"attr_B82BEC1459EBBCCBEEA91EC03F";"13";"";
"SUPPLIER";"EMILE MAURIN";"";
"attr_4C9DD86CA85F73BAA0D57FBBAD";"22,5";"";
"attr_BB1DF8A8F17EEB00320465396D";"16";"";
"TraceParts.PartNumber";"90-02012026-074405";"";
"TraceParts.PartLanguage";"fr";"";
"DESIGN";"16-24 VIS PAPILLON INOX - 16-240-46-6-16";"";
"attr_8F3B2DDB0A023CEA370792160E";"6";"";
"attr_FF7DD181ACA71F66AB4DFD48F1";"46";"";
"attr_9C1BBF6DD08401191A622C42EF";"M6";"";
"TraceParts.PartTitle";"16-24 VIS PAPILLON INOX";"";
"TraceParts.PartVersion";"1.0.4";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.InstanceId";"90-02012026-0744055GEYEQ4N67IYXLS2S9Q46SB8W";"";
