"Symbol";"Value";"Unit";
"REFERENCE";"C1-106812";"";
"WEH_NOMINALERDRUCK";"200 bar (3,000 psi)";"";
"TraceParts.PartVersion";"1.2.5";"";
"SUPPLIER";"WEH FluidTech";"";
"WEH_AUSFUEHRUNG";"Incl. fittings (only for check valves with tube fitting)";"";
"WEH_NENNWEITEDN";"12 mm";"";
"WEH_FILTER";"40 micron";"";
"WEH_TEILWERKSTOFF";"Corrosion resistant stainless steel";"";
"TraceParts.PartTitle";"Filter TSF4 CNG for CNG vehicles / fueling stations (ECE)";"";
"WEH_B1";"Tube Ø 16, double ferrule fitting";"";
"TraceParts.PartNumber";"90-21102021-059947";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"WEH® Filter TSF4 CNG for CNG vehicles (ECE), T-Filter, tube Ø 16 on both sides, 40 micron, 200 bar";"";
"TraceParts.InstanceId";"90-21102021-0599472N3XX9WWY2MK673V115V3T3RA";"";
"WEH_TEMPBEREICH";"-40 °C up to +120 °C (ECE)";"";
"WEH_B2";"Tube Ø 16, double ferrule fitting";"";
"TRACEPARTS";"TRACEPARTS";"";
"WEH_DICHTWERKSTOFF";"Natural gas compatible";"";
"WEH_BETRIEBSDRUCK";"260 bar";"";
