"Symbol";"Value";"Unit";
"RdcMax";"0.225";"";
"Length";"0.006";"";
"SizecodeMm";"6060";"";
"ReferenceMass";"0.358";"";
"WidthText";"6.0±0.3mm";"";
"RatedCurrentIsat";"0.53";"";
"ThicknessMax";"0.003";"";
"Inductance";"4.7E-05";"";
"RatedCurrentIsatText";"530mA";"";
"REFERENCE";"#A921CY-470M=P3";"";
"Thickness";"0.003";"";
"TraceParts.InstanceId";"90-07112024-04223178P2ST6ENTHNY6M228NL8S6AD";"";
"ThicknessMaxText";"3mm";"";
"TraceParts.PartTitle";"#A921CY-470M=P3";"";
"DESIGN";"Wire Wound Ferrite Inductor for Power Lines, #A921CY-470M=P3";"";
"Width";"0.006";"";
"SUPPLIER";"MURATA";"";
"TraceParts.PartVersion";"1.0.0";"";
"TraceParts.PartNumber";"90-07112024-042231";"";
"SizecodeInch";"2424 (6060)";"";
"RatedCurrentItempText";"890mA";"";
"InductanceText";"47μH±20%";"";
"TRACEPARTS";"TRACEPARTS";"";
"OpTempRangeIncludingSelfRise";"-40℃ to 85℃";"";
"ThicknessText";"3.0mm";"";
"InductanceTolerance";"±20%";"";
"RdcMaxText";"0.225Ω";"";
"TraceParts.PartLanguage";"en";"";
"LengthText";"6.0±0.3mm";"";
"RatedCurrentItemp";"0.89";"";
