"Symbol";"Value";"Unit";
"REFERENCE";"ALB-10";"";
"TraceParts.PartVersion";"1.0.1";"";
"SUPPLIER";"The Timken Company";"";
"TraceParts.PartNumber";"90-26042023-031308";"";
"TRACEPARTS";"TRACEPARTS";"";
"H_Head_Width_in";".562";"";
"D_Head_Diameter_in";"1.500";"";
"Thread_Size";"5/8-18";"";
"TraceParts.InstanceId";"90-26042023-0313082N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Aurora Bearing ALM & ALB Series Male Rod Ends (PTFE Liners Available), Ball Bore .6250 in - ALB-10";"";
"Part_Number_ProductPage_URL";"https://www.timken.com/engineering-tools/";"";
"UltimateRadialStaticLoadCapacity";"8,516";"";
"TraceParts.PartTitle";"Aurora Bearing ALM & ALB Series Male Rod Ends (PTFE Liners Available) - ALB-10";"";
"Thread_Type";"Left Hand";"";
"B_Ball_Bore_in";".6250";"";
"W_Ball_Width_in";".750";"";
"A_Base_to_Center_in";"2.625";"";
"Part_Number_ProductPage_URL_2";"https://cad.timken.com/keyword/all-product-types?key=all&keyword=ALB-10&SchType=2";"";
"C_Thread_Length_in";"1.625";"";
