"Symbol";"Value";"Unit";
"attr_1D575C9E1E737A06FCD17437F5";"P6-F";"";
"REFERENCE";"GYE12-KRR-B";"";
"attr_928ECE454573E2A9142384ABB5";"12";"";
"TraceParts.PartVersion";"1.0.1";"";
"SUPPLIER";"MICHAUD CHAILLY";"";
"TraceParts.PartTitle";"P6-F/G ROULEMENT À BILLES AUTO-ALIGNEUR AVEC VIS DE BLOCAGE, BAGUE EXTÉRIEURE SPHÉRIQUE";"";
"attr_BB1DF8A8F17EEB00320465396D";"27,4";"";
"attr_3EB2FA538D81E8F193B4D41979";"9,6";"";
"attr_BD8769484A5F10E30AEB773D4C";"3,3";"";
"TraceParts.PartNumber";"90-10072026-051311";"";
"attr_D8A717D49405503DFCE610E5C7";"-";"";
"attr_C22A21158D1CCAF606404FE8A2";"2,5";"";
"attr_D03D8F585FE36FA0C9285F04C6";"16,6";"";
"DESIGN";"P6-F/G ROULEMENT À BILLES AUTO-ALIGNEUR AVEC VIS DE BLOCAGE, BAGUE EXTÉRIEURE SPHÉRIQUE - GYE12-KRR-B";"";
"TraceParts.InstanceId";"90-10072026-0513115GEYEQ4N67IYXLS2S9Q46SB8W";"";
"attr_FF7DD181ACA71F66AB4DFD48F1";"12";"";
"attr_9C1BBF6DD08401191A622C42EF";"40";"";
"TraceParts.PartLanguage";"fr";"";
"attr_0898A532E323C3B0F6574E01FE";"11,5";"";
"attr_055DC0E6F47B3DA36FED492074";"23,9";"";
"TRACEPARTS";"TRACEPARTS";"";
"attr_DD07825DB17A5D137150B154A5";"GYE12-KRR-B";"";
"attr_14E4B650EB7EBC1128B3FED2BB";"4,75";"";
"attr_A0AA06C608756921937A103026";"4";"";
"attr_FF1CB4630DC1D8106612A11395";"SCH";"";
"attr_4292FBCB1D1FC1984DB03E7FB6";"31,6";"";
