"Symbol";"Value";"Unit";
"attr_94DD8D2F843CFF5B447BD7DEAF";"32";"";
"attr_8F3B2DDB0A023CEA370792160E";"51";"";
"attr_6DD24BFC0B3E6309102CCB3F7A";"37";"";
"attr_055DC0E6F47B3DA36FED492074";"19";"";
"attr_0DBA3D66AA907DFFF0FF848DB2";"31";"";
"attr_BB1DF8A8F17EEB00320465396D";"94,5";"";
"SUPPLIER";"MICHAUD CHAILLY";"";
"REFERENCE";"PTUE20";"";
"attr_16592A7002C9475AA705BAC0BC";"18";"";
"TraceParts.InstanceId";"90-09072026-0282075GEYEQ4N67IYXLS2S9Q46SB8W";"";
"attr_B82BEC1459EBBCCBEEA91EC03F";"33";"";
"attr_928ECE454573E2A9142384ABB5";"76";"";
"TraceParts.PartTitle";"P7-13E COULISSEAU TENDEUR EN FONTE AVEC SERRAGE PAR BAGUE EXCENTRIQUE";"";
"DESIGN";"P7-13E COULISSEAU TENDEUR EN FONTE AVEC SERRAGE PAR BAGUE EXCENTRIQUE - PTUE20";"";
"TraceParts.PartNumber";"90-09072026-028207";"";
"attr_FF1CB4630DC1D8106612A11395";"SCH";"";
"TraceParts.PartVersion";"1.0.1";"";
"TRACEPARTS";"TRACEPARTS";"";
"attr_A0AA06C608756921937A103026";"23,5";"";
"attr_4C9DD86CA85F73BAA0D57FBBAD";"50";"";
"attr_0898A532E323C3B0F6574E01FE";"60";"";
"attr_81E22F9EC6D30D893E2204E68F";"12";"";
"attr_D03D8F585FE36FA0C9285F04C6";"25";"";
"attr_BD8769484A5F10E30AEB773D4C";"9";"";
"attr_9C1BBF6DD08401191A622C42EF";"90";"";
"attr_E810D83CF393870C73B6B95D27";"-";"";
"TraceParts.PartLanguage";"fr";"";
"attr_FF7DD181ACA71F66AB4DFD48F1";"20";"";
