"Symbol";"Value";"Unit";
"Dust_and_Moisture_Protection";"Ingress Protection (IP58)";"";
"Height_mm";"4";"";
"DC_Operating_Voltage_Range_V";"2.8~5.5";"";
"Speed_at_5_0_V_Voltage_rpm";"11000";"";
"Static_PressurQ_3_3V_Voltag_inH2O";"0.096";"";
"Width_in";"0.7";"";
"Operating_Temperature_C";"-10~+60";"";
"Length_mm";"18";"";
"Airflow_P_3_3_V_Voltage_m3_min";"0.004";"";
"Airflow_P_3_3_V_Voltage_ft3_min";"0.14";"";
"TraceParts.PartVersion";"1.0.3";"";
"SUPPLIER";"Pelonis Technologies";"";
"REFERENCE";"AGB184";"";
"TraceParts.InstanceId";"90-08092022-0304752N3XX9WWY2MK673V115V3T3RA";"";
"Static_PressurQ_5_0V_Voltag_inH2O";"0.203";"";
"Rated_Current_at_3_3_V_Voltage_mA";"30";"";
"TraceParts.PartTitle";"0.14 Cubic Feet Per Minute (ft³/min) Airflow (P) Micro Blower - AGB184";"";
"DESIGN";"0.14 Cubic Feet Per Minute (ft³/min) Airflow (P) Micro Blower";"";
"Package_Type";"Each";"";
"TraceParts.PartNumber";"90-08092022-030475";"";
"DC_Rated_Voltage_V";"3.3~5.0";"";
"Height_in";"0.16";"";
"Lead_Wire_Thickness_AWG";"32";"";
"Airflow_P_5_0_V_Voltage_ft3_min";"0.2";"";
"Static_PressurQ_5_0V_Voltag_mmAq";"5.16";"";
"Rated_Current_at_5_0_V_Voltage_mA";"45";"";
"Part_Number_EShop_URL";"https://catalog.pelonistechnologies.com/item/air-g-series-micro-fans-and-micro-blowers/micro-fans-and-micro-blowers/agb184";"";
"Noise_at_3_3_Volt_V_Voltage_dBA";"25";"";
"Type";"Axial; Micro Blower";"";
"OperatLife45DegreeCelsTemphours";"20000";"";
"Static_PressurQ_3_3V_Voltag_mmAq";"2.44";"";
"Lead_Wire_Jacket_Diameter_mm";"50";"";
"TRACEPARTS";"TRACEPARTS";"";
"Airflow_P_5_0_V_Voltage_m3_min";"0.006";"";
"Weight_g";"1.8";"";
"Width_mm";"18";"";
"Lead_Wire_Rating";"Underwriters Laboratories (UL1571)";"";
"TraceParts.PartLanguage";"en";"";
"Noise_at_5_0_Volt_V_Voltage_dBA";"< 35.0";"";
"Length_in";"0.7";"";
"Speed_at_3_3_V_Voltage_rpm";"7000";"";
