"Symbol";"Value";"Unit";
"Material_1001163_0_DB";"316 Stainless Steel";"";
"REFERENCE";"13C004004";"";
"A1002921M256_DB_Bore_Size_B";"1/4";"";
"A1001157M256_DB_Outside_Diamete";"0.813";"";
"SUPPLIER";"Stafford Manufacturing Corp.";"";
"TraceParts.PartTitle";"316 SS Two-Piece Hex Bore Clamp Couplings";"";
"Finish_1001164_0_B";"None";"";
"Style_1059_0_Type_B";"High Strength";"";
"REACH_1055_0_REACH_Compliant_B";"Yes";"";
"TraceParts.InstanceId";"90-14072023-0471425GEYEQ4N67IYXLS2S9Q46SB8W";"";
"A1001410M256_DB_Bore_Size_A";"1/4";"";
"Screw_Material_1001540_0_B";"316 Stainless Steel";"";
"Part_Number_ProductPage_URL";"https://shaft-collars-couplings.staffordmfg.com/item/hexagonal-bore-shaft-couplings/316-ss-two-piece-hex-bore-clamp-couplings/13c004004";"";
"Screw_Size_1001445_0_B";"4-40 x 5/16";"";
"DESIGN";"316 SS Two-Piece Hex Bore Clamp Couplings";"";
"Recessed_Screw_1002953_0_B";"Yes";"";
"TraceParts.PartVersion";"1.0.1";"";
"TraceParts.PartNumber";"90-14072023-047142";"";
"Series_1001166_0_B";"Signature";"";
"A1001042M278_B_Approximate_Weig";"0.13";"";
"UPC_Code_12_0_B";"662786039812";"";
"TRACEPARTS";"TRACEPARTS";"";
"Total_Length__in_1001052_256_DB";"1.250";"";
"A1090M0_B_Part_Number_X0026nbsp";"13C004004";"";
"RoHS_1054_0_RoHS2_Compliant_B";"Yes";"";
"Alloy_1053_0_B";"316";"";
"Country_of_Origin_1056_0_B";"USA";"";
"TraceParts.PartLanguage";"en";"";
