"Symbol";"Value";"Unit";
"REFERENCE";"3030-110-ZK63-120";"";
"TraceParts.PartVersion";"1.1.0";"";
"SUPPLIER";"SCHERZINGER PUMPEN GMBH & CO.KG";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"32-27012021-090298";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"stainless steel gear pumps 3030";"";
"TraceParts.InstanceId";"32-27012021-090298D3RWDE1JMKGJ10YNVVBFOWHX7";"";
"TraceParts.PartTitle";"Gear pumps 3030/3040/3050 - 110";"";
"OMNICLASS23";"23.27.17.00";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"PUMPENFABRIK_498769102:32-27012021-090298";"";
